Order Date,Region,Manager,Category,Channel,Units,Revenue,Gross Profit,Margin,Avg Unit Price
13.10.2024,South,R. Silva,Peripherals,Partner,12,11175.12,1279.36,0.1145,931.26
12.07.2025,South,D. Orlov,Storage,Retail,55,45338.7,3691.92,0.0814,824.34
26.09.2025,South,M. Ivanova,Networking,Online,6,2927.4,1128.36,0.3854,487.9
05.05.2024,West,M. Ivanova,Laptops,Online,23,12719,3441.75,0.2706,553
06.03.2024,West,S. Kim,Storage,Online,24,42066.72,15110.24,0.3592,1752.78
08.07.2025,South,D. Orlov,Networking,Partner,36,56379.24,15762.15,0.2796,1566.09
04.07.2024,Central,M. Ivanova,Monitors,Retail,30,22593.9,3428.04,0.1517,753.13
26.08.2025,West,D. Orlov,Storage,Partner,57,47101.38,17168.41,0.3645,826.34
01.01.2024,South,L. Chen,Monitors,Online,56,17235.12,2079.62,0.1207,307.77
10.02.2025,North,A. Petrov,Storage,Partner,57,54081.6,9326.7,0.1725,948.8
02.04.2024,East,M. Ivanova,Peripherals,Partner,11,17992.59,6893.14,0.3831,1635.69
22.04.2024,Central,R. Silva,Storage,Partner,23,8967.24,2595.07,0.2894,389.88
15.06.2024,West,A. Petrov,Monitors,Online,45,64325.7,12043.13,0.1872,1429.46
25.01.2025,East,D. Orlov,Networking,Retail,54,34144.2,9121.49,0.2671,632.3
12.02.2024,South,A. Petrov,Peripherals,Partner,57,67459.5,18040.06,0.2674,1183.5
21.02.2024,East,M. Ivanova,Monitors,Online,58,66628.08,22437.35,0.3368,1148.76
16.11.2024,North,A. Petrov,Laptops,Retail,15,15367.35,4347.86,0.2829,1024.49
11.06.2024,Central,R. Silva,Peripherals,Retail,40,15886.4,4449.42,0.2801,397.16
24.02.2024,Central,R. Silva,Storage,Partner,18,28261.62,6686.03,0.2366,1570.09
06.05.2024,South,M. Ivanova,Storage,Partner,40,19731.6,3642.95,0.1846,493.29
11.05.2025,East,D. Orlov,Networking,Retail,24,2708.88,705.33,0.2604,112.87
15.03.2025,Central,M. Ivanova,Monitors,Online,31,35290.09,10463.14,0.2965,1138.39
08.03.2025,Central,M. Ivanova,Storage,Online,16,4310.4,1518.07,0.3522,269.4
18.12.2024,North,R. Silva,Networking,Partner,3,727.2,155.89,0.2144,242.4
08.03.2024,South,M. Ivanova,Storage,Retail,1,1698.88,569.99,0.3355,1698.88
26.07.2025,South,R. Silva,Laptops,Partner,23,4370.92,1832.16,0.4192,190.04
01.08.2025,South,S. Kim,Peripherals,Partner,9,14478.39,6262.2,0.4325,1608.71
16.02.2025,Central,M. Ivanova,Storage,Partner,60,21121.8,6227.95,0.2949,352.03
28.07.2025,Central,S. Kim,Laptops,Retail,10,6752,1003.74,0.1487,675.2
31.10.2024,West,R. Silva,Networking,Retail,30,33936.3,4087.49,0.1204,1131.21
29.09.2025,South,D. Orlov,Storage,Retail,3,4372.92,1199.93,0.2744,1457.64
30.03.2024,North,R. Silva,Storage,Online,35,47321.05,16862.4,0.3563,1352.03
27.08.2025,Central,A. Petrov,Peripherals,Retail,13,14196.26,3719.93,0.262,1092.02
11.05.2025,West,D. Orlov,Laptops,Partner,10,12270.8,2775.3,0.2262,1227.08
15.01.2025,East,R. Silva,Networking,Online,1,1566.86,636.67,0.4063,1566.86
12.09.2025,East,A. Petrov,Laptops,Online,35,13321.7,5469.65,0.4106,380.62
25.01.2024,North,A. Petrov,Laptops,Online,59,101078.21,33062.95,0.3271,1713.19
15.09.2025,North,A. Petrov,Networking,Online,34,21655.96,9266.63,0.4279,636.94
16.07.2024,South,M. Ivanova,Laptops,Partner,32,24479.04,3777.79,0.1543,764.97
18.04.2024,North,A. Petrov,Storage,Retail,50,59794.5,22706.58,0.3797,1195.89
15.05.2024,Central,A. Petrov,Laptops,Online,32,8100.16,2510.06,0.3099,253.13
12.11.2024,East,L. Chen,Laptops,Retail,44,79154.24,26027.23,0.3288,1798.96
27.05.2024,East,R. Silva,Monitors,Online,56,54451.6,10984.7,0.2017,972.35
08.02.2025,Central,R. Silva,Networking,Retail,60,17748.6,4527.7,0.2551,295.81
02.06.2024,West,A. Petrov,Storage,Retail,30,37297.2,3083.68,0.0827,1243.24
29.07.2025,West,R. Silva,Monitors,Partner,51,51467.16,5656.4,0.1099,1009.16
18.01.2024,Central,S. Kim,Monitors,Online,39,51783.03,19136.76,0.3696,1327.77
07.06.2024,South,M. Ivanova,Networking,Retail,36,53658.36,18414.2,0.3432,1490.51
03.06.2025,North,M. Ivanova,Storage,Partner,33,53223.06,7474.31,0.1404,1612.82
17.03.2025,North,M. Ivanova,Peripherals,Online,50,5518.5,1687.27,0.3057,110.37
10.07.2024,West,S. Kim,Storage,Retail,41,43032.37,6089.13,0.1415,1049.57
08.09.2025,South,D. Orlov,Peripherals,Retail,53,66490.62,23504.21,0.3535,1254.54
25.11.2024,East,A. Petrov,Networking,Online,7,1803.69,746.66,0.414,257.67
05.01.2025,North,M. Ivanova,Laptops,Retail,7,4900.84,1559.1,0.3181,700.12
02.01.2024,East,S. Kim,Storage,Partner,12,20218.92,4557.51,0.2254,1684.91
12.01.2025,Central,D. Orlov,Networking,Online,22,17940.56,2115.53,0.1179,815.48
29.10.2024,South,M. Ivanova,Laptops,Partner,57,69187.17,10267.57,0.1484,1213.81
10.09.2024,Central,A. Petrov,Laptops,Retail,2,310.92,47.3,0.1521,155.46
13.03.2024,South,A. Petrov,Laptops,Retail,46,66744.62,10996.28,0.1648,1450.97
20.04.2025,North,D. Orlov,Peripherals,Retail,4,6221.88,678.97,0.1091,1555.47
20.03.2025,East,S. Kim,Laptops,Partner,15,23711.55,4499.18,0.1897,1580.77
03.12.2024,West,S. Kim,Laptops,Online,23,37092.33,11386.84,0.307,1612.71
21.12.2024,South,L. Chen,Monitors,Partner,35,7495.25,1422.57,0.1898,214.15
17.04.2024,East,L. Chen,Peripherals,Partner,6,4180.38,1209.44,0.2893,696.73
14.09.2025,South,A. Petrov,Networking,Partner,33,27482.4,10256.65,0.3732,832.8
10.03.2024,East,M. Ivanova,Monitors,Retail,3,4652.58,1179.82,0.2536,1550.86
06.09.2025,Central,D. Orlov,Storage,Retail,15,3448.65,810.84,0.2351,229.91
11.04.2025,Central,S. Kim,Storage,Partner,34,20517.3,5253.07,0.256,603.45
22.06.2025,East,L. Chen,Peripherals,Online,28,36593.76,3187.83,0.0871,1306.92
03.08.2024,South,M. Ivanova,Laptops,Retail,19,30995.08,11108.92,0.3584,1631.32
24.08.2024,East,A. Petrov,Laptops,Partner,34,20802.9,9091.61,0.437,611.85
21.07.2024,North,M. Ivanova,Networking,Partner,45,73390.95,17986.85,0.2451,1630.91
25.03.2024,Central,R. Silva,Storage,Retail,59,4393.14,830.5,0.189,74.46
28.01.2024,South,M. Ivanova,Monitors,Retail,30,42336.3,17680.66,0.4176,1411.21
29.04.2024,Central,S. Kim,Laptops,Partner,37,47392.19,8614.99,0.1818,1280.87
05.04.2025,West,R. Silva,Networking,Retail,31,40035.88,14953.74,0.3735,1291.48
10.06.2024,Central,A. Petrov,Storage,Partner,9,8782.2,1652.93,0.1882,975.8
15.03.2025,South,S. Kim,Networking,Online,4,1363.48,599.58,0.4397,340.87
06.09.2024,West,R. Silva,Peripherals,Online,22,25619.22,5905.41,0.2305,1164.51
22.08.2025,North,D. Orlov,Monitors,Retail,56,88968.88,29715.6,0.334,1588.73
14.02.2024,West,L. Chen,Laptops,Online,7,2994.53,736.56,0.246,427.79
13.03.2024,Central,L. Chen,Monitors,Online,5,7822.5,2046.14,0.2616,1564.5
26.02.2025,East,L. Chen,Peripherals,Partner,7,9357.53,3131.28,0.3346,1336.79
15.02.2025,East,D. Orlov,Networking,Online,12,8763.84,2700.21,0.3081,730.32
19.08.2025,East,R. Silva,Monitors,Retail,24,29746.32,10955.42,0.3683,1239.43
17.03.2025,Central,A. Petrov,Networking,Partner,27,45022.77,14468.97,0.3214,1667.51
24.09.2025,South,R. Silva,Laptops,Online,39,34822.71,4451.06,0.1278,892.89
13.10.2024,West,A. Petrov,Storage,Online,16,10924.96,2794.13,0.2558,682.81
23.04.2025,North,R. Silva,Peripherals,Partner,30,19569.6,1621.15,0.0828,652.32
19.08.2024,West,S. Kim,Storage,Online,10,1960.2,629.3,0.321,196.02
12.07.2025,North,M. Ivanova,Storage,Partner,20,19214.4,5577.33,0.2903,960.72
05.04.2025,East,R. Silva,Storage,Retail,47,47198.34,9604.09,0.2035,1004.22
31.07.2025,North,D. Orlov,Monitors,Retail,6,6879.72,2489.69,0.3619,1146.62
22.07.2025,North,D. Orlov,Peripherals,Retail,26,10816.78,1124.74,0.104,416.03
05.07.2025,North,A. Petrov,Monitors,Partner,41,37355.51,7499.16,0.2008,911.11
27.07.2024,West,S. Kim,Storage,Partner,24,7335.36,2995.03,0.4083,305.64
22.01.2025,West,R. Silva,Networking,Retail,11,17955.41,5029.44,0.2801,1632.31
07.08.2024,South,S. Kim,Storage,Online,24,20179.92,4285.5,0.2124,840.83
19.07.2025,East,S. Kim,Monitors,Partner,36,16134.48,3755.34,0.2328,448.18
26.07.2024,Central,S. Kim,Laptops,Partner,56,32458.72,7238.97,0.223,579.62
08.01.2024,South,M. Ivanova,Peripherals,Partner,35,29407.35,2410.74,0.082,840.21
04.05.2024,West,A. Petrov,Laptops,Retail,25,20205.75,5309.6,0.2628,808.23
30.06.2024,North,R. Silva,Storage,Retail,56,55975.36,24465.66,0.4371,999.56
02.12.2024,West,M. Ivanova,Storage,Online,30,26465.4,11042.65,0.4172,882.18
22.05.2024,Central,M. Ivanova,Networking,Online,43,17666.12,2783.49,0.1576,410.84
04.07.2025,West,R. Silva,Networking,Retail,60,71056.2,27671.31,0.3894,1184.27
08.09.2024,West,L. Chen,Laptops,Online,25,2383.5,477.63,0.2004,95.34
26.04.2024,Central,M. Ivanova,Monitors,Retail,18,15267.06,3235.69,0.2119,848.17
21.05.2025,West,S. Kim,Laptops,Partner,12,19890.96,5270.78,0.265,1657.58
09.08.2025,North,L. Chen,Monitors,Partner,48,22919.52,4940.19,0.2155,477.49
27.03.2024,East,S. Kim,Laptops,Retail,44,2521.64,579.58,0.2298,57.31
18.11.2024,West,A. Petrov,Peripherals,Partner,17,2000.9,731.61,0.3656,117.7
03.10.2024,South,S. Kim,Laptops,Retail,13,16741.01,1881.19,0.1124,1287.77
27.08.2025,North,M. Ivanova,Storage,Online,22,30673.06,5465.26,0.1782,1394.23
19.01.2024,North,M. Ivanova,Storage,Partner,9,7539.75,3225.23,0.4278,837.75
15.08.2025,West,S. Kim,Peripherals,Retail,52,52664.56,13035.84,0.2475,1012.78
10.04.2024,East,D. Orlov,Peripherals,Partner,25,37806.75,12206.23,0.3229,1512.27
25.07.2024,North,A. Petrov,Storage,Online,18,5953.5,1290.48,0.2168,330.75
12.08.2024,North,M. Ivanova,Peripherals,Online,54,82917.54,9323.24,0.1124,1535.51
02.01.2024,West,D. Orlov,Networking,Online,12,12738.12,2006.42,0.1575,1061.51
21.03.2025,East,L. Chen,Monitors,Partner,18,31684.14,8416.53,0.2656,1760.23
09.07.2024,North,M. Ivanova,Monitors,Retail,45,57489.3,6157.53,0.1071,1277.54
12.05.2025,Central,R. Silva,Laptops,Retail,28,15175.72,3142.55,0.2071,541.99
27.10.2024,North,L. Chen,Storage,Online,18,27351.72,9484.08,0.3467,1519.54
01.02.2025,East,S. Kim,Monitors,Online,37,65372.34,11578.16,0.1771,1766.82
26.06.2025,South,L. Chen,Networking,Partner,45,55068.3,5780.06,0.105,1223.74
10.12.2024,West,S. Kim,Laptops,Retail,47,52455.29,21932.95,0.4181,1116.07
04.01.2025,South,S. Kim,Peripherals,Partner,24,14985.36,1489.35,0.0994,624.39
15.04.2024,South,S. Kim,Laptops,Partner,36,9956.16,1207.64,0.1213,276.56
16.08.2025,West,D. Orlov,Storage,Partner,14,586.6,139.92,0.2385,41.9
21.03.2024,South,M. Ivanova,Laptops,Retail,11,3171.19,620.62,0.1957,288.29
16.09.2025,Central,D. Orlov,Peripherals,Partner,57,35493.9,10964.16,0.3089,622.7
23.12.2024,West,S. Kim,Laptops,Retail,50,69046.5,9181.35,0.133,1380.93
19.07.2024,East,S. Kim,Laptops,Retail,48,75072,33014.06,0.4398,1564
19.02.2025,West,S. Kim,Peripherals,Partner,20,19833.6,5527.14,0.2787,991.68
18.07.2025,Central,M. Ivanova,Networking,Online,13,11629.93,4870.49,0.4188,894.61
15.10.2024,West,M. Ivanova,Storage,Partner,21,1852.2,178.41,0.0963,88.2
17.09.2024,South,R. Silva,Networking,Retail,59,13942.29,3753.44,0.2692,236.31
02.12.2024,Central,D. Orlov,Storage,Retail,53,71149.32,24916.53,0.3502,1342.44
27.09.2024,Central,D. Orlov,Monitors,Retail,12,3078.84,401.16,0.1303,256.57
04.05.2025,Central,L. Chen,Peripherals,Partner,16,15693.92,2470.37,0.1574,980.87
23.10.2024,West,M. Ivanova,Laptops,Retail,39,56037.54,8461.02,0.151,1436.86
13.04.2025,South,L. Chen,Storage,Retail,52,51670.84,7898.27,0.1529,993.67
09.06.2024,North,R. Silva,Monitors,Online,23,5695.26,2013.5,0.3535,247.62
05.06.2024,East,A. Petrov,Monitors,Partner,44,69493.6,30324.6,0.4364,1579.4
01.03.2024,North,M. Ivanova,Laptops,Online,27,10686.6,1958.39,0.1833,395.8
16.12.2024,West,A. Petrov,Laptops,Retail,47,62056.92,14303.58,0.2305,1320.36
15.10.2024,South,S. Kim,Peripherals,Partner,13,19514.82,7105.55,0.3641,1501.14
18.03.2025,Central,A. Petrov,Peripherals,Partner,56,68958.4,24019.96,0.3483,1231.4
26.03.2024,North,D. Orlov,Peripherals,Partner,5,5569.3,1706.78,0.3065,1113.86
27.02.2025,South,M. Ivanova,Networking,Online,23,4011.2,1347.26,0.3359,174.4
11.06.2025,Central,D. Orlov,Networking,Partner,48,12617.76,3478.09,0.2757,262.87
21.08.2024,Central,L. Chen,Laptops,Retail,1,1465.51,310.93,0.2122,1465.51
18.04.2024,North,S. Kim,Storage,Online,31,31339.45,2673.75,0.0853,1010.95
24.02.2025,South,M. Ivanova,Laptops,Retail,53,20370.02,6778.93,0.3328,384.34
01.08.2024,East,L. Chen,Storage,Retail,44,10505.44,3430.41,0.3265,238.76
28.02.2025,Central,D. Orlov,Peripherals,Partner,58,38869.28,11577.15,0.2978,670.16
13.02.2024,South,R. Silva,Storage,Partner,53,63613.78,24558.98,0.3861,1200.26
30.05.2024,West,R. Silva,Peripherals,Partner,29,27871.9,11772.25,0.4224,961.1
06.11.2024,South,A. Petrov,Storage,Retail,17,5078.92,1402.36,0.2761,298.76
14.04.2024,Central,D. Orlov,Storage,Retail,7,3143.91,579.9,0.1845,449.13
31.10.2024,South,S. Kim,Networking,Online,60,20352,3576.05,0.1757,339.2
03.07.2024,North,D. Orlov,Storage,Retail,38,34263.46,6770.75,0.1976,901.67
15.01.2025,North,L. Chen,Networking,Retail,13,5864.43,2103.82,0.3587,451.11
17.01.2024,West,A. Petrov,Monitors,Partner,49,9558.43,2407.06,0.2518,195.07
09.01.2025,East,L. Chen,Networking,Retail,25,20772,7673.58,0.3694,830.88
12.04.2024,South,A. Petrov,Networking,Retail,50,62011.5,9857.86,0.159,1240.23
19.04.2025,Central,S. Kim,Networking,Retail,5,5005.8,1289.79,0.2577,1001.16
10.03.2024,Central,A. Petrov,Storage,Retail,43,56890.29,19379.5,0.3406,1323.03
30.05.2024,North,D. Orlov,Networking,Online,41,46370.59,15384.67,0.3318,1130.99
23.02.2024,West,D. Orlov,Storage,Partner,14,7298.9,2100.56,0.2878,521.35
03.09.2024,North,M. Ivanova,Storage,Partner,49,38503.71,12800.32,0.3324,785.79
26.01.2025,North,L. Chen,Monitors,Partner,35,45368.75,5516.05,0.1216,1296.25
02.07.2024,Central,M. Ivanova,Laptops,Online,42,9990.54,3474.82,0.3478,237.87
14.04.2024,West,D. Orlov,Monitors,Retail,4,5341.16,1412.81,0.2645,1335.29
20.05.2025,West,M. Ivanova,Peripherals,Retail,35,59840.55,7685.67,0.1284,1709.73
19.04.2025,South,L. Chen,Monitors,Partner,53,88488.8,33600.12,0.3797,1669.6
29.06.2025,North,R. Silva,Storage,Retail,21,32907,7206.27,0.219,1567
17.08.2024,North,D. Orlov,Storage,Online,22,14456.2,4425.54,0.3061,657.1
22.09.2025,East,S. Kim,Storage,Partner,37,22473.43,3400.92,0.1513,607.39
19.05.2024,South,D. Orlov,Networking,Online,37,50798.78,16573.81,0.3263,1372.94
20.08.2025,Central,M. Ivanova,Storage,Online,46,48834.52,9323.37,0.1909,1061.62
26.04.2024,North,A. Petrov,Networking,Online,32,47754.56,11787.47,0.2468,1492.33
15.11.2024,Central,D. Orlov,Storage,Partner,19,5312.59,1867.16,0.3515,279.61
03.11.2024,East,L. Chen,Laptops,Partner,18,13693.86,6021.28,0.4397,760.77
08.06.2024,Central,M. Ivanova,Laptops,Retail,37,5504.49,2004.17,0.3641,148.77
31.01.2024,North,A. Petrov,Monitors,Online,33,49810.53,15402.26,0.3092,1509.41
12.06.2024,West,S. Kim,Storage,Partner,25,23285.25,8908.49,0.3826,931.41
17.02.2024,East,R. Silva,Peripherals,Partner,51,53621.91,11929.31,0.2225,1051.41
01.01.2024,West,M. Ivanova,Storage,Partner,31,54806.45,5182.7,0.0946,1767.95
14.11.2024,East,S. Kim,Monitors,Partner,34,1654.44,653.17,0.3948,48.66
09.11.2024,South,M. Ivanova,Storage,Retail,18,31938.84,10233.65,0.3204,1774.38
01.08.2025,Central,D. Orlov,Storage,Online,48,35872.8,6011.48,0.1676,747.35
26.06.2025,South,A. Petrov,Monitors,Retail,29,1585.14,682.38,0.4305,54.66
21.09.2024,West,M. Ivanova,Monitors,Online,1,1018.23,194.61,0.1911,1018.23
26.09.2025,West,R. Silva,Monitors,Retail,41,62246.2,14319.5,0.23,1518.2
27.01.2024,Central,L. Chen,Monitors,Partner,43,44701.51,15798.78,0.3534,1039.57
02.07.2025,East,L. Chen,Monitors,Retail,16,10297.76,3627.04,0.3522,643.61
02.03.2024,West,D. Orlov,Laptops,Partner,16,12968.48,2873.11,0.2215,810.53
30.05.2024,North,A. Petrov,Monitors,Partner,28,48537.16,11781.3,0.2427,1733.47
21.12.2024,South,S. Kim,Laptops,Online,45,25595.1,6179.09,0.2414,568.78
30.01.2025,North,D. Orlov,Peripherals,Online,12,9255.96,2462.94,0.2661,771.33
20.06.2025,East,L. Chen,Networking,Partner,2,1821.28,742.28,0.4076,910.64
08.01.2024,Central,M. Ivanova,Monitors,Partner,18,31686.84,9490.62,0.2995,1760.38
26.05.2024,Central,L. Chen,Laptops,Online,4,4390.72,766.24,0.1745,1097.68
04.06.2024,West,D. Orlov,Peripherals,Partner,5,4426.45,1030.42,0.2328,885.29
26.01.2025,Central,A. Petrov,Laptops,Online,8,9930.08,2465.53,0.2483,1241.26
28.05.2025,East,M. Ivanova,Laptops,Retail,58,16306.12,1810.43,0.111,281.14
14.02.2024,East,A. Petrov,Storage,Retail,25,9927.5,3579.66,0.3606,397.1
23.12.2024,West,A. Petrov,Monitors,Retail,56,40943.84,7101.31,0.1734,731.14
08.03.2024,West,S. Kim,Networking,Retail,21,1403.64,156.41,0.1114,66.84
03.03.2024,Central,L. Chen,Peripherals,Online,58,37171.62,12112.07,0.3258,640.89
23.05.2024,West,R. Silva,Peripherals,Online,7,6375.04,945.23,0.1483,910.72
10.05.2025,Central,R. Silva,Peripherals,Retail,53,91564.92,18005.98,0.1966,1727.64
10.06.2025,East,L. Chen,Networking,Online,50,69148,17949.79,0.2596,1382.96
06.04.2024,North,A. Petrov,Laptops,Partner,37,25320.58,6409.3,0.2531,684.34
16.01.2024,East,L. Chen,Laptops,Retail,22,30508.5,8735.27,0.2863,1386.75
13.07.2024,North,L. Chen,Networking,Retail,33,28169.13,7506.51,0.2665,853.61
27.03.2024,East,A. Petrov,Peripherals,Partner,53,21608.63,5587.18,0.2586,407.71
08.12.2024,East,D. Orlov,Laptops,Retail,59,82838.36,13352.2,0.1612,1404.04
27.08.2024,West,S. Kim,Laptops,Partner,28,35876.96,7890.66,0.2199,1281.32
05.01.2024,North,A. Petrov,Monitors,Online,56,11145.12,4531.44,0.4066,199.02
11.03.2025,Central,R. Silva,Networking,Partner,35,45546.55,4077.04,0.0895,1301.33
10.05.2024,South,S. Kim,Monitors,Online,23,30797.69,13233.41,0.4297,1339.03
06.02.2024,East,D. Orlov,Peripherals,Retail,13,23021.83,6783.57,0.2947,1770.91
05.01.2024,Central,M. Ivanova,Peripherals,Retail,33,19464.72,4325.5,0.2222,589.84
05.02.2024,East,M. Ivanova,Networking,Online,54,81991.44,25824.52,0.315,1518.36
30.06.2024,North,L. Chen,Monitors,Retail,21,33023.76,10248.22,0.3103,1572.56
21.05.2024,East,S. Kim,Laptops,Online,40,55758.4,22256.72,0.3992,1393.96
27.01.2025,North,M. Ivanova,Monitors,Retail,26,33887.88,6804.4,0.2008,1303.38
03.01.2024,West,M. Ivanova,Monitors,Partner,34,38246.94,16461.35,0.4304,1124.91
23.08.2025,West,D. Orlov,Storage,Retail,4,2811.32,1163.97,0.414,702.83
26.06.2024,West,R. Silva,Monitors,Retail,8,9135.92,3042.55,0.333,1141.99
17.04.2024,East,L. Chen,Networking,Retail,43,19190.04,4797.09,0.25,446.28
13.02.2025,South,A. Petrov,Storage,Online,4,6617,1086.11,0.1641,1654.25
26.01.2025,West,S. Kim,Monitors,Retail,6,5552.1,753.02,0.1356,925.35
15.08.2024,West,D. Orlov,Laptops,Retail,33,51960.15,18069.46,0.3478,1574.55
05.01.2025,Central,S. Kim,Networking,Partner,9,6483.33,556.82,0.0859,720.37
