Ticket ID,Opened,Customer,Email,Priority,Channel,Subject,Resolution Hours,Reopened
T-20018,16.03.2025,Elena Costa,elena.costa64@example.com,Normal,Email,Login fails after password reset 870,70.9,0
T-20019,01.06.2025,Priya Sharma,priya.sharma95@example.com,Normal,Chat,Dashboard loads very slowly,10,1
T-20020,20.04.2025,Priya Haddad,priya.haddad34@example.com,Urgent,Chat,Invoice amount does not match the order,66.3,1
T-20021,14.03.2025,Omar Sharma,omar.sharma72@example.com,Normal,Chat,Duplicate records after sync 944,52.1,0
T-20022,24.04.2025,Omar Silva,omar.silva25@example.com,Urgent,Email,Duplicate records after sync 304,75.8,0
T-20023,22.08.2025,Omar Sharma,omar.sharma8@example.com,Urgent,Chat,Invoice amount does not match the order,64.2,0
T-20024,23.03.2025,Tom Novak,tom.novak6@example.com,Urgent,Email,Cannot export report to PDF 626,11.4,2
T-20025,23.08.2025,Anna Sharma,anna.sharma45@example.com,Urgent,Email,Dashboard loads very slowly 486,38.4,0
T-20026,12.07.2025,Yuki Haddad,yuki.haddad76@example.com,Urgent,Email,Invoice amount does not match the order,67.3,1
T-20027,26.07.2025,Anna Haddad,anna.haddad70@example.com,Low,Chat,Need help configuring SSO 271,95.1,2
T-20028,20.08.2025,Yuki Silva,yuki.silva73@example.com,Low,Chat,Invoice amount does not match the order 56,35.1,1
T-20029,07.06.2025,Anna Silva,anna.silva35@example.com,Low,Phone,Duplicate records after sync 986,51.5,0
T-20030,05.03.2025,Tom Sharma,tom.sharma23@example.com,Low,Email,Duplicate records after sync,35.9,0
T-20031,08.03.2025,Marcus Sharma,marcus.sharma71@example.com,Low,Phone,Need help configuring SSO 18,93.3,0
T-20032,05.07.2025,Anna Novak,anna.novak47@example.com,Low,Chat,Duplicate records after sync,32.9,0
T-20033,17.06.2025,Diego Haddad,diego.haddad72@example.com,Low,Email,Cannot export report to PDF 42,27.9,0
T-20034,03.06.2025,Diego Sharma,diego.sharma12@example.com,Low,Phone,Duplicate records after sync 57,46.1,0
T-20035,11.05.2025,Marcus Silva,marcus.silva20@example.com,Urgent,Chat,Login fails after password reset 77,12.4,2
T-20036,07.08.2025,Marcus Sharma,marcus.sharma89@example.com,Low,Chat,Invoice amount does not match the order 954,8.9,0
T-20037,12.09.2025,Marcus Sharma,marcus.sharma44@example.com,High,Phone,Invoice amount does not match the order,82.4,1
T-20038,20.05.2025,Elena Novak,elena.novak29@example.com,Low,Chat,Invoice amount does not match the order 967,15.3,1
T-20039,17.04.2025,Tom Berg,tom.berg48@example.com,High,Phone,Cannot export report to PDF,59.5,0
T-20040,09.06.2025,Yuki Wright,yuki.wright78@example.com,Low,Email,Invoice amount does not match the order,78.6,1
T-20041,03.08.2025,Marcus Berg,marcus.berg23@example.com,Urgent,Chat,Cannot export report to PDF 780,5.8,2
T-20042,14.09.2025,Omar Berg,omar.berg49@example.com,Low,Phone,Dashboard loads very slowly,51,0
T-20043,17.08.2025,Omar Wright,omar.wright61@example.com,Urgent,Email,Dashboard loads very slowly,69.7,0
T-20044,17.04.2025,Tom Sharma,tom.sharma77@example.com,Urgent,Email,Cannot export report to PDF 532,54.7,0
T-20045,25.03.2025,Diego Berg,diego.berg44@example.com,Urgent,Chat,Data import stops at 40 percent,13.3,0
T-20046,09.04.2025,Omar Wright,omar.wright16@example.com,Normal,Chat,Duplicate records after sync,17.9,0
T-20047,12.03.2025,Marcus Wright,marcus.wright11@example.com,High,Chat,Invoice amount does not match the order,2.9,0
T-20048,25.06.2025,Omar Silva,omar.silva65@example.com,High,Phone,Data import stops at 40 percent 876,7.4,2
T-20049,20.03.2025,Priya Wright,priya.wright16@example.com,Low,Email,Need help configuring SSO,67.5,2
T-20050,08.07.2025,Omar Berg,omar.berg70@example.com,High,Phone,Need help configuring SSO 270,94.9,0
T-20051,21.07.2025,Priya Sharma,priya.sharma19@example.com,Urgent,Email,Need help configuring SSO,43.9,0
T-20052,06.08.2025,Yuki Silva,yuki.silva71@example.com,Urgent,Phone,Invoice amount does not match the order 587,76.5,0
T-20053,30.04.2025,Diego Wright,diego.wright36@example.com,Urgent,Phone,Dashboard loads very slowly,4.6,0
T-20054,28.04.2025,Marcus Sharma,marcus.sharma94@example.com,Normal,Chat,Duplicate records after sync,63.8,1
T-20055,05.05.2025,Yuki Wright,yuki.wright30@example.com,Low,Chat,Need help configuring SSO 406,69.5,1
T-20056,18.03.2025,Yuki Silva,yuki.silva56@example.com,Urgent,Chat,Dashboard loads very slowly,75.4,1
T-20057,25.03.2025,Yuki Costa,yuki.costa46@example.com,Normal,Chat,Need help configuring SSO 377,90.6,1
T-20058,08.07.2025,Yuki Haddad,yuki.haddad23@example.com,Urgent,Email,Feature request: bulk edit 623,80,1
T-20059,15.06.2025,Yuki Costa,yuki.costa3@example.com,Low,Phone,Cannot export report to PDF,24.1,2
T-20060,30.06.2025,Marcus Wright,marcus.wright18@example.com,Normal,Chat,Need help configuring SSO,59.5,0
T-20061,05.05.2025,Marcus Haddad,marcus.haddad86@example.com,Low,Phone,Feature request: bulk edit 886,15.2,0
T-20062,12.07.2025,Diego Costa,diego.costa54@example.com,Urgent,Email,Dashboard loads very slowly,13.7,1
T-20063,05.05.2025,Diego Wright,diego.wright8@example.com,Urgent,Phone,Cannot export report to PDF 272,89.6,2
T-20064,25.05.2025,Omar Haddad,omar.haddad65@example.com,Low,Chat,Need help configuring SSO 762,85.1,0
T-20065,07.05.2025,Priya Tanaka,priya.tanaka97@example.com,Urgent,Phone,Duplicate records after sync,16.9,0
T-20066,03.07.2025,Marcus Tanaka,marcus.tanaka29@example.com,Low,Email,Need help configuring SSO,18.3,1
T-20067,25.05.2025,Priya Costa,priya.costa72@example.com,Low,Phone,Need help configuring SSO 472,32.7,0
T-20068,27.07.2025,Anna Novak,anna.novak87@example.com,Low,Phone,Login fails after password reset,39,2
T-20069,11.07.2025,Elena Berg,elena.berg84@example.com,High,Chat,Duplicate records after sync 193,2.7,0
T-20070,24.07.2025,Priya Wright,priya.wright55@example.com,Normal,Chat,Login fails after password reset 48,33.2,0
T-20071,30.06.2025,Elena Tanaka,elena.tanaka1@example.com,Normal,Email,Cannot export report to PDF,18.9,0
T-20072,11.03.2025,Priya Costa,priya.costa67@example.com,High,Phone,Invoice amount does not match the order 204,45.5,0
T-20073,09.04.2025,Anna Wright,anna.wright25@example.com,Urgent,Chat,Feature request: bulk edit 387,23.4,2
T-20074,03.07.2025,Marcus Wright,marcus.wright18@example.com,Low,Email,Need help configuring SSO 141,34.1,0
T-20075,13.08.2025,Diego Silva,diego.silva18@example.com,Urgent,Email,Dashboard loads very slowly,88.3,0
T-20076,31.05.2025,Yuki Tanaka,yuki.tanaka1@example.com,High,Phone,Dashboard loads very slowly 588,49.9,1
T-20077,13.08.2025,Priya Silva,priya.silva10@example.com,Low,Chat,Feature request: bulk edit 552,9.1,0
T-20078,16.05.2025,Yuki Haddad,yuki.haddad78@example.com,High,Phone,Need help configuring SSO 787,46.7,2
T-20079,06.06.2025,Yuki Haddad,yuki.haddad25@example.com,Normal,Phone,Dashboard loads very slowly,16.5,1
T-20080,28.08.2025,Marcus Tanaka,marcus.tanaka57@example.com,Urgent,Email,Duplicate records after sync,24,0
T-20081,14.04.2025,Yuki Haddad,yuki.haddad42@example.com,Urgent,Chat,Need help configuring SSO 832,33.5,1
T-20082,02.04.2025,Omar Wright,omar.wright5@example.com,Normal,Phone,Dashboard loads very slowly 1,30.4,1
T-20083,13.05.2025,Elena Haddad,elena.haddad93@example.com,High,Email,Cannot export report to PDF 695,81.5,1
T-20084,28.05.2025,Diego Tanaka,diego.tanaka54@example.com,High,Email,Login fails after password reset 759,84.8,0
T-20085,20.06.2025,Marcus Silva,marcus.silva25@example.com,Normal,Phone,Data import stops at 40 percent,79.9,0
T-20086,07.05.2025,Anna Tanaka,anna.tanaka37@example.com,Urgent,Chat,Need help configuring SSO 921,87.8,1
T-20087,02.08.2025,Elena Silva,elena.silva84@example.com,Urgent,Chat,Cannot export report to PDF 68,44.5,1
T-20088,01.08.2025,Priya Novak,priya.novak61@example.com,Low,Phone,Need help configuring SSO 382,95.7,0
T-20089,26.03.2025,Elena Berg,elena.berg21@example.com,Urgent,Phone,Data import stops at 40 percent 556,58.3,1
T-20090,03.06.2025,Diego Sharma,diego.sharma39@example.com,High,Email,Data import stops at 40 percent 72,57.6,0
T-20091,22.04.2025,Yuki Haddad,yuki.haddad54@example.com,Low,Chat,Data import stops at 40 percent,42.5,2
T-20092,03.06.2025,Omar Tanaka,omar.tanaka54@example.com,High,Email,Feature request: bulk edit,10.9,2
T-20093,10.08.2025,Yuki Silva,yuki.silva19@example.com,Low,Phone,Dashboard loads very slowly 785,79.2,2
T-20094,30.07.2025,Elena Silva,elena.silva11@example.com,Normal,Email,Duplicate records after sync 448,10.9,0
T-20095,10.09.2025,Omar Berg,omar.berg27@example.com,High,Chat,Dashboard loads very slowly 295,76.8,0
T-20096,15.08.2025,Elena Silva,elena.silva43@example.com,Normal,Phone,Duplicate records after sync,84.7,0
T-20097,04.03.2025,Diego Silva,diego.silva42@example.com,High,Email,Feature request: bulk edit 354,60.2,1
T-20098,22.04.2025,Marcus Silva,marcus.silva3@example.com,High,Phone,Feature request: bulk edit 127,4.7,0
T-20099,16.09.2025,Omar Berg,omar.berg11@example.com,Low,Phone,Dashboard loads very slowly 840,23.1,0
T-20100,25.05.2025,Anna Wright,anna.wright30@example.com,High,Email,Invoice amount does not match the order,40,0
T-20101,28.07.2025,Omar Novak,omar.novak92@example.com,High,Chat,Feature request: bulk edit,26.8,1
T-20102,30.03.2025,Yuki Sharma,yuki.sharma34@example.com,Urgent,Phone,Login fails after password reset 900,43.8,2
T-20103,29.05.2025,Priya Tanaka,priya.tanaka90@example.com,Normal,Email,Feature request: bulk edit 338,77.7,0
T-20104,23.06.2025,Yuki Sharma,yuki.sharma90@example.com,High,Phone,Login fails after password reset 393,72.7,1
T-20105,04.08.2025,Yuki Haddad,yuki.haddad40@example.com,Urgent,Email,Duplicate records after sync 193,18.6,0
T-20106,19.03.2025,Omar Berg,omar.berg3@example.com,Low,Phone,Need help configuring SSO 685,15.2,2
T-20107,23.06.2025,Marcus Silva,marcus.silva49@example.com,Urgent,Email,Need help configuring SSO,95,0
T-20108,21.03.2025,Tom Novak,tom.novak65@example.com,Low,Phone,Duplicate records after sync 378,31.2,0
T-20109,08.04.2025,Elena Haddad,elena.haddad59@example.com,High,Phone,Login fails after password reset 925,40.4,1
T-20110,01.05.2025,Omar Silva,omar.silva94@example.com,High,Phone,Need help configuring SSO 959,9.5,0
T-20111,22.07.2025,Anna Berg,anna.berg17@example.com,Low,Chat,Duplicate records after sync 245,48.6,0
T-20112,06.03.2025,Yuki Silva,yuki.silva23@example.com,Low,Chat,Dashboard loads very slowly 850,34.4,0
T-20113,03.04.2025,Omar Silva,omar.silva8@example.com,Normal,Email,Feature request: bulk edit 764,12.5,2
T-20114,26.06.2025,Tom Silva,tom.silva91@example.com,Low,Chat,Dashboard loads very slowly,87,2
T-20115,01.09.2025,Omar Wright,omar.wright9@example.com,Low,Email,Feature request: bulk edit,10.9,0
T-20116,28.08.2025,Diego Wright,diego.wright29@example.com,Low,Phone,Invoice amount does not match the order,67.1,1
T-20117,03.09.2025,Marcus Wright,marcus.wright60@example.com,Urgent,Chat,Data import stops at 40 percent,8.1,0
T-20118,11.06.2025,Omar Wright,omar.wright51@example.com,Normal,Email,Need help configuring SSO 311,48.2,2
T-20119,22.07.2025,Marcus Silva,marcus.silva32@example.com,High,Email,Cannot export report to PDF,31.6,0
T-20120,11.06.2025,Omar Novak,omar.novak8@example.com,Normal,Email,Need help configuring SSO,22.2,0
T-20121,15.05.2025,Anna Novak,anna.novak91@example.com,Low,Email,Duplicate records after sync,76.6,0
T-20122,10.06.2025,Tom Novak,tom.novak41@example.com,Low,Phone,Need help configuring SSO 291,49.4,0
T-20123,14.03.2025,Anna Novak,anna.novak32@example.com,High,Email,Cannot export report to PDF,66.3,2
T-20124,28.05.2025,Priya Sharma,priya.sharma4@example.com,Urgent,Email,Data import stops at 40 percent,67.3,0
T-20125,11.08.2025,Anna Berg,anna.berg72@example.com,Low,Chat,Login fails after password reset,18.2,0
T-20126,01.04.2025,Anna Tanaka,anna.tanaka72@example.com,Normal,Chat,Cannot export report to PDF 500,45,0
T-20127,01.06.2025,Omar Haddad,omar.haddad81@example.com,Urgent,Chat,Cannot export report to PDF,63.5,0
T-20128,18.06.2025,Yuki Wright,yuki.wright5@example.com,Urgent,Phone,Dashboard loads very slowly 512,44.4,0
T-20129,19.07.2025,Anna Wright,anna.wright89@example.com,High,Chat,Data import stops at 40 percent,65.1,2
T-20130,14.04.2025,Yuki Haddad,yuki.haddad65@example.com,Low,Phone,Duplicate records after sync 662,17.8,0
T-20131,10.03.2025,Omar Sharma,omar.sharma59@example.com,Urgent,Phone,Invoice amount does not match the order,93,1
T-20132,22.06.2025,Diego Sharma,diego.sharma33@example.com,High,Email,Dashboard loads very slowly 194,75.2,2
T-20133,07.03.2025,Priya Haddad,priya.haddad79@example.com,Low,Email,Login fails after password reset,83.1,0
T-20134,24.07.2025,Anna Berg,anna.berg85@example.com,Normal,Email,Data import stops at 40 percent 165,6.4,1
T-20135,23.08.2025,Omar Haddad,omar.haddad28@example.com,Low,Phone,Need help configuring SSO 409,48.3,1
T-20136,27.03.2025,Omar Tanaka,omar.tanaka71@example.com,Urgent,Email,Dashboard loads very slowly,46.9,0
T-20137,24.05.2025,Diego Wright,diego.wright32@example.com,Normal,Phone,Cannot export report to PDF,74.3,0
T-20138,21.05.2025,Diego Novak,diego.novak56@example.com,Normal,Chat,Login fails after password reset,90.8,2
T-20139,06.06.2025,Anna Novak,anna.novak52@example.com,Normal,Email,Data import stops at 40 percent,21.5,0
T-20140,03.05.2025,Marcus Tanaka,marcus.tanaka91@example.com,Normal,Phone,Invoice amount does not match the order 466,6.5,0
T-20141,28.08.2025,Omar Costa,omar.costa58@example.com,Normal,Phone,Dashboard loads very slowly 223,25.1,0
T-20142,04.05.2025,Yuki Wright,yuki.wright98@example.com,Low,Chat,Cannot export report to PDF,57.9,0
T-20143,13.08.2025,Omar Silva,omar.silva88@example.com,Urgent,Phone,Need help configuring SSO,7.8,0
T-20144,14.03.2025,Omar Wright,omar.wright81@example.com,Low,Phone,Feature request: bulk edit,47.4,2
T-20145,07.03.2025,Marcus Haddad,marcus.haddad28@example.com,Normal,Phone,Dashboard loads very slowly 447,42.4,2
T-20146,17.05.2025,Omar Costa,omar.costa45@example.com,Normal,Chat,Data import stops at 40 percent,2.6,1
T-20147,18.08.2025,Omar Berg,omar.berg38@example.com,Low,Email,Need help configuring SSO,10.9,1
T-20148,22.03.2025,Diego Costa,diego.costa59@example.com,Urgent,Phone,Cannot export report to PDF 199,71.4,0
T-20149,15.09.2025,Yuki Novak,yuki.novak3@example.com,Low,Chat,Login fails after password reset 257,80,1
T-20150,05.05.2025,Elena Silva,elena.silva25@example.com,High,Email,Dashboard loads very slowly,19.1,2
T-20151,22.07.2025,Elena Wright,elena.wright30@example.com,Urgent,Phone,Dashboard loads very slowly,22,0
T-20152,28.07.2025,Omar Costa,omar.costa97@example.com,Normal,Phone,Cannot export report to PDF 713,5.8,2
T-20153,15.03.2025,Priya Costa,priya.costa96@example.com,Low,Chat,Feature request: bulk edit,38.3,0
T-20154,31.08.2025,Omar Silva,omar.silva95@example.com,Urgent,Email,Dashboard loads very slowly,68.4,0
T-20155,11.07.2025,Anna Wright,anna.wright58@example.com,Low,Phone,Cannot export report to PDF 364,11,1
T-20156,11.09.2025,Anna Haddad,anna.haddad54@example.com,Low,Email,Cannot export report to PDF 169,58.5,0
T-20157,25.06.2025,Anna Novak,anna.novak42@example.com,Low,Phone,Need help configuring SSO,33.8,0
T-20158,22.03.2025,Tom Wright,tom.wright34@example.com,Urgent,Chat,Dashboard loads very slowly 56,31.2,2
T-20159,18.06.2025,Anna Wright,anna.wright14@example.com,Normal,Phone,Cannot export report to PDF 964,8.7,2
T-20160,21.07.2025,Diego Sharma,diego.sharma25@example.com,High,Chat,Need help configuring SSO 712,2.3,2
T-20161,06.05.2025,Tom Costa,tom.costa56@example.com,Urgent,Email,Duplicate records after sync 334,79.2,2
T-20162,09.05.2025,Priya Costa,priya.costa56@example.com,Urgent,Phone,Invoice amount does not match the order 935,25,0
T-20163,25.04.2025,Anna Sharma,anna.sharma11@example.com,Normal,Phone,Dashboard loads very slowly,12.1,1
T-20164,17.07.2025,Elena Tanaka,elena.tanaka68@example.com,Normal,Phone,Feature request: bulk edit,30.4,2
T-20165,26.05.2025,Diego Tanaka,diego.tanaka70@example.com,Urgent,Chat,Dashboard loads very slowly 131,85.1,2
T-20166,19.05.2025,Tom Tanaka,tom.tanaka86@example.com,Normal,Email,Data import stops at 40 percent 819,76.3,1
T-20167,14.05.2025,Yuki Sharma,yuki.sharma66@example.com,Urgent,Chat,Login fails after password reset 769,38.1,1
T-20168,05.05.2025,Tom Novak,tom.novak20@example.com,Normal,Phone,Duplicate records after sync,69.7,1
T-20169,05.04.2025,Omar Silva,omar.silva10@example.com,Low,Phone,Need help configuring SSO 174,11.1,0
T-20170,19.08.2025,Anna Tanaka,anna.tanaka18@example.com,Low,Chat,Data import stops at 40 percent,46.3,0
T-20171,26.07.2025,Tom Berg,tom.berg19@example.com,Normal,Chat,Dashboard loads very slowly,94.3,0
T-20172,18.05.2025,Marcus Sharma,marcus.sharma78@example.com,Normal,Phone,Dashboard loads very slowly 348,9.6,0
T-20173,28.07.2025,Tom Wright,tom.wright7@example.com,Normal,Email,Feature request: bulk edit,64.4,0
T-20174,30.06.2025,Anna Wright,anna.wright82@example.com,High,Chat,Login fails after password reset 387,21.8,0
T-20175,31.08.2025,Diego Silva,diego.silva72@example.com,Normal,Phone,Feature request: bulk edit,32.9,2
T-20176,13.03.2025,Anna Haddad,anna.haddad74@example.com,Normal,Email,Invoice amount does not match the order,39.3,0
T-20177,03.09.2025,Tom Sharma,tom.sharma87@example.com,Normal,Chat,Login fails after password reset 472,27.8,1
T-20178,19.07.2025,Marcus Berg,marcus.berg31@example.com,Urgent,Phone,Invoice amount does not match the order,26.9,2
T-20179,11.03.2025,Tom Wright,tom.wright22@example.com,High,Phone,Duplicate records after sync 199,3.4,0
T-20180,13.04.2025,Elena Tanaka,elena.tanaka45@example.com,Low,Chat,Dashboard loads very slowly 81,5,0
T-20181,29.03.2025,Omar Silva,omar.silva37@example.com,Urgent,Phone,Login fails after password reset,64.9,0
T-20182,09.09.2025,Anna Tanaka,anna.tanaka4@example.com,High,Email,Cannot export report to PDF 950,63.5,0
T-20183,10.09.2025,Tom Haddad,tom.haddad45@example.com,Low,Chat,Feature request: bulk edit,87.4,0
T-20184,13.08.2025,Tom Novak,tom.novak19@example.com,Low,Phone,Feature request: bulk edit 193,43.8,0
T-20185,03.09.2025,Diego Tanaka,diego.tanaka47@example.com,High,Chat,Feature request: bulk edit 129,41.2,0
T-20186,03.08.2025,Tom Costa,tom.costa93@example.com,Urgent,Chat,Feature request: bulk edit,59.7,1
T-20187,06.06.2025,Omar Haddad,omar.haddad50@example.com,Normal,Chat,Data import stops at 40 percent,29.8,1
T-20188,27.08.2025,Omar Sharma,omar.sharma53@example.com,Urgent,Email,Cannot export report to PDF 369,69.4,0
T-20189,04.07.2025,Elena Haddad,elena.haddad89@example.com,Normal,Email,Cannot export report to PDF 168,15.5,0
T-20190,28.04.2025,Marcus Haddad,marcus.haddad61@example.com,Urgent,Email,Invoice amount does not match the order 785,91.7,1
T-20191,04.04.2025,Marcus Novak,marcus.novak28@example.com,High,Chat,Duplicate records after sync,72.7,0
T-20192,14.05.2025,Omar Sharma,omar.sharma49@example.com,Low,Chat,Need help configuring SSO 630,56.9,0
T-20193,28.08.2025,Omar Silva,omar.silva69@example.com,Urgent,Chat,Duplicate records after sync 133,59.1,0
T-20194,07.08.2025,Diego Novak,diego.novak70@example.com,Low,Phone,Data import stops at 40 percent,93.8,0
T-20195,02.07.2025,Omar Sharma,omar.sharma81@example.com,Normal,Phone,Dashboard loads very slowly,70.7,0
T-20196,22.08.2025,Omar Sharma,omar.sharma91@example.com,Low,Chat,Invoice amount does not match the order,46.6,1
T-20197,30.08.2025,Priya Haddad,priya.haddad97@example.com,Low,Chat,Login fails after password reset 886,66.1,0
T-20198,21.07.2025,Diego Silva,diego.silva33@example.com,Urgent,Phone,Need help configuring SSO,24.5,0
T-20199,26.05.2025,Anna Sharma,anna.sharma19@example.com,High,Chat,Login fails after password reset 430,91.6,0
T-20200,11.09.2025,Diego Berg,diego.berg7@example.com,Normal,Chat,Invoice amount does not match the order 390,64.2,0
T-20201,04.04.2025,Yuki Silva,yuki.silva27@example.com,Low,Chat,Invoice amount does not match the order,48.5,2
T-20202,16.04.2025,Tom Novak,tom.novak13@example.com,Urgent,Email,Dashboard loads very slowly,69.2,0
T-20203,03.09.2025,Tom Haddad,tom.haddad85@example.com,High,Phone,Invoice amount does not match the order 545,32.3,2
T-20204,07.03.2025,Omar Silva,omar.silva70@example.com,Normal,Email,Dashboard loads very slowly,87.5,0
T-20205,16.07.2025,Priya Silva,priya.silva91@example.com,High,Phone,Login fails after password reset,20.2,0
T-20206,16.05.2025,Priya Silva,priya.silva2@example.com,Low,Chat,Data import stops at 40 percent,84.4,2
T-20207,26.03.2025,Omar Berg,omar.berg15@example.com,Low,Chat,Login fails after password reset 701,77.1,0
T-20208,03.04.2025,Marcus Novak,marcus.novak4@example.com,Urgent,Phone,Duplicate records after sync,94.2,1
T-20209,16.05.2025,Yuki Haddad,yuki.haddad82@example.com,High,Chat,Feature request: bulk edit,32.6,0
T-20210,17.07.2025,Elena Berg,elena.berg73@example.com,Low,Chat,Dashboard loads very slowly,49.8,2
T-20211,20.05.2025,Marcus Novak,marcus.novak74@example.com,Low,Email,Cannot export report to PDF 82,68.9,2
T-20212,04.06.2025,Omar Haddad,omar.haddad29@example.com,High,Email,Invoice amount does not match the order 440,42.8,0
T-20213,06.03.2025,Marcus Silva,marcus.silva90@example.com,Urgent,Email,Login fails after password reset,62.6,2
T-20214,04.03.2025,Yuki Sharma,yuki.sharma63@example.com,Low,Chat,Cannot export report to PDF 117,6.5,0
T-20215,09.03.2025,Tom Silva,tom.silva56@example.com,Urgent,Phone,Login fails after password reset,41.7,0
T-20216,20.04.2025,Marcus Tanaka,marcus.tanaka92@example.com,High,Email,Login fails after password reset 317,54.1,0
T-20217,29.05.2025,Elena Costa,elena.costa17@example.com,Low,Email,Cannot export report to PDF 778,47.2,0
T-20218,04.08.2025,Priya Silva,priya.silva27@example.com,High,Email,Dashboard loads very slowly,65.3,0
T-20219,04.05.2025,Omar Novak,omar.novak84@example.com,Urgent,Chat,Cannot export report to PDF,22.9,0
T-20220,19.07.2025,Diego Costa,diego.costa99@example.com,Urgent,Email,Cannot export report to PDF 534,79,0
T-20221,29.07.2025,Anna Berg,anna.berg81@example.com,High,Phone,Duplicate records after sync 361,51.5,2
T-20222,22.06.2025,Yuki Berg,yuki.berg59@example.com,Low,Email,Duplicate records after sync 50,30.1,0
T-20223,15.06.2025,Diego Berg,diego.berg40@example.com,Normal,Email,Login fails after password reset 498,56.4,1
T-20224,21.04.2025,Omar Haddad,omar.haddad26@example.com,Urgent,Phone,Dashboard loads very slowly,7.4,0
T-20225,17.04.2025,Tom Silva,tom.silva93@example.com,Urgent,Phone,Dashboard loads very slowly,47,2
T-20226,29.06.2025,Elena Sharma,elena.sharma29@example.com,Urgent,Phone,Need help configuring SSO,95.3,1
T-20227,03.06.2025,Anna Sharma,anna.sharma25@example.com,High,Phone,Login fails after password reset,0.4,0
T-20228,22.07.2025,Elena Silva,elena.silva36@example.com,High,Email,Invoice amount does not match the order,52.4,0
T-20229,05.08.2025,Priya Novak,priya.novak59@example.com,Normal,Email,Feature request: bulk edit 315,89.6,1
T-20230,06.08.2025,Diego Haddad,diego.haddad66@example.com,High,Chat,Duplicate records after sync,71.1,0
T-20231,24.07.2025,Priya Sharma,priya.sharma61@example.com,Low,Email,Duplicate records after sync,13.1,0
T-20232,26.08.2025,Marcus Berg,marcus.berg64@example.com,High,Phone,Data import stops at 40 percent,58.5,2
T-20233,15.05.2025,Anna Novak,anna.novak63@example.com,Normal,Phone,Cannot export report to PDF 653,74,2
T-20234,09.06.2025,Priya Sharma,priya.sharma4@example.com,Low,Email,Feature request: bulk edit,78.9,2
T-20235,09.06.2025,Diego Novak,diego.novak27@example.com,Normal,Phone,Duplicate records after sync,1.8,0
T-20236,30.08.2025,Yuki Costa,yuki.costa24@example.com,Urgent,Email,Feature request: bulk edit 270,4.2,0
T-20237,27.08.2025,Yuki Tanaka,yuki.tanaka91@example.com,High,Chat,Duplicate records after sync,42.2,2
T-20238,13.07.2025,Priya Haddad,priya.haddad25@example.com,Low,Chat,Invoice amount does not match the order,66.5,0
T-20239,05.06.2025,Priya Haddad,priya.haddad64@example.com,Normal,Phone,Data import stops at 40 percent 741,78,0
T-20240,06.07.2025,Priya Tanaka,priya.tanaka11@example.com,High,Email,Cannot export report to PDF 559,93,0
T-20241,14.08.2025,Elena Silva,elena.silva22@example.com,High,Phone,Feature request: bulk edit,26.3,2
T-20242,04.05.2025,Yuki Costa,yuki.costa84@example.com,Normal,Phone,Login fails after password reset,77,0
T-20243,11.04.2025,Omar Silva,omar.silva48@example.com,High,Email,Data import stops at 40 percent,70.8,0
T-20244,25.03.2025,Yuki Silva,yuki.silva41@example.com,Urgent,Phone,Data import stops at 40 percent,45.7,0
T-20245,31.05.2025,Anna Haddad,anna.haddad67@example.com,Low,Phone,Feature request: bulk edit,9.6,0
